id N vR1 vR2 vR3 vR4 vR5 vR6
  1.000000000 183.000000000            NA            NA            NA  -0.239507209            NA            NA
  2.000000000 168.000000000  -0.166928217   0.254342373   0.075453380  -0.170557189   0.082366508  -0.238507975
  3.000000000 255.000000000   0.075941205   0.341402078  -0.020390125  -0.012118026   0.246364083  -0.325232817
  4.000000000 215.000000000  -0.222756244   0.315324162   0.026294104  -0.224757666  -0.061582155  -0.246689902
  5.000000000 168.000000000   0.082605757   0.334734646            NA  -0.024005686            NA            NA
  6.000000000 160.000000000   0.013295553   0.298773029            NA  -0.051161025            NA            NA
  7.000000000 169.000000000  -0.064869361   0.312811398   0.036851857  -0.059269508  -0.242560671  -0.219525042
  8.000000000 166.000000000  -0.073103202            NA   0.130594910            NA   0.322257492            NA
  9.000000000 246.000000000            NA   0.332228663            NA            NA            NA            NA
 10.000000000 212.000000000  -0.100432559   0.402952954   0.003071036  -0.163947026   0.109592428  -0.118854308
 11.000000000 160.000000000            NA   0.336862226   0.095575752            NA            NA  -0.431195269
 12.000000000 246.000000000   0.303839065   0.336317142   0.106490727  -0.057281878   0.251792538  -0.203206624
 13.000000000 186.000000000            NA   0.187188731   0.049327333            NA            NA  -0.212343142
 14.000000000 186.000000000  -0.099597901   0.272021016   0.033665932  -0.090665180  -0.057454446  -0.214020067
 15.000000000 161.000000000   0.216077149   0.336987622   0.105494069   0.026211496  -0.098827976  -0.245868666
 16.000000000 241.000000000  -0.011676266   0.175791373            NA  -0.144457635            NA            NA
 17.000000000 313.000000000  -0.098349784   0.270782828  -0.012927616  -0.119289107  -0.267675306  -0.265850967
 18.000000000 202.000000000  -0.252045424            NA   0.009963941            NA   0.130741708            NA
 19.000000000 166.000000000   0.412618760   0.383989121   0.092485182   0.102221791   0.496056652  -0.283072097
 20.000000000 227.000000000            NA            NA            NA   0.081828538  -0.099506619  -0.366884084
 21.000000000 176.000000000            NA   0.296860693  -0.078578994            NA            NA  -0.366988040
 22.000000000 165.000000000   0.157674985   0.284257646  -0.001002135  -0.026183713   0.372826962  -0.308377119
 23.000000000 165.000000000   0.283361138   0.200547861   0.196516415   0.014353851   0.520452444  -0.321285442
 24.000000000 254.000000000  -0.189017978   0.269911635   0.029884049  -0.198162204   0.388638638  -0.262990716
 25.000000000 235.000000000  -0.136925440   0.256137081  -0.022760964  -0.007313119   0.133836306  -0.241109598
 26.000000000 244.000000000  -0.071170038   0.369761249  -0.089852982  -0.089371409   0.619354014  -0.311120140
 27.000000000 193.000000000   0.183994772   0.319103507  -0.005923994  -0.067312574   0.058980680  -0.206326675
 28.000000000 180.000000000  -0.032876946   0.218277265   0.074719810  -0.037724454   0.080604887  -0.325934468
 29.000000000 163.000000000            NA   0.338982296   0.211098772            NA            NA  -0.189788675
 30.000000000 195.000000000   0.501023860   0.365589741   0.339834914  -0.022727957   0.767744613  -0.251900196
 31.000000000 214.000000000   0.542597275   0.255069871   0.337580045   0.078649276   0.456949112  -0.286592794
 32.000000000 203.000000000            NA   0.304356096  -0.051913127            NA            NA  -0.318485098
 33.000000000 262.000000000            NA   0.241192629  -0.010891775            NA            NA  -0.344330529
 34.000000000 311.000000000   0.770745199            NA   0.135648605            NA   0.240830011            NA
 35.000000000 164.000000000            NA            NA   0.108287606            NA            NA            NA
 36.000000000 167.000000000  -0.421453072   0.346658350  -0.007123022  -0.380525941  -0.148429459  -0.197366584
 37.000000000 161.000000000  -0.003425058   0.338069348   0.013078137  -0.083299635   0.311822876  -0.250209702
 38.000000000 175.000000000   0.009593487   0.341464571   0.067032660  -0.248041114   0.382229197  -0.255306814
 39.000000000 167.000000000            NA            NA            NA  -0.177041325  -0.040277561  -0.219419077
 40.000000000 274.000000000   0.558560719   0.278573956   0.135728562   0.073406864   0.327566017  -0.234994162
 41.000000000 169.000000000            NA   0.365576033  -0.101592039            NA            NA  -0.420465596
 42.000000000 196.000000000   0.286294226   0.154656090   0.108140514  -0.092042115   0.406592100  -0.303509305
 43.000000000 234.000000000            NA   0.217593903   0.002767026            NA            NA  -0.262593297
 44.000000000 170.000000000   0.076531257   0.328841322   0.044745708  -0.111501104   0.013312711  -0.229834510
 45.000000000 176.000000000            NA   0.361811374            NA            NA            NA            NA
 46.000000000 245.000000000   0.289532197   0.374659436            NA  -0.125270310            NA            NA
 47.000000000 188.000000000   0.243465110   0.259365785            NA  -0.005929661            NA            NA
 48.000000000 166.000000000   0.076525712   0.357848512   0.062601752   0.089314090  -0.024789984  -0.214413253
 49.000000000 179.000000000            NA            NA            NA  -0.035206430   0.382456940  -0.331661936
 50.000000000 178.000000000            NA   0.354513616            NA            NA            NA            NA
